brewery,considered_craft,owner_investor,percent_owned,year_acquired,city,state,ownership_pct
10 Barrel,No,Anheuser-Busch InBev,100%,2014,Bend,Oregon,100
21st Amendment,Yes,Brooklyn Brewery (Kirin),<50%,2017,San Leandro,California,50
AC Golden,No,MillerCoors,100%,2008,Golden,Colorado,100
Alpine Beer,Yes,Green Flash Brewing,100%,2015,San Diego,California,100
Anchor Brewing,No,Sapporo Holdings Ltd,100%,2017,San Francisco,California,100
Appalachian Mountain,No,Anheuser-Busch InBev,100%,2019,Boone,North Carolina,100
Atwater,No,Molson Coors,100%,2020,Detroit,Michigan,100
Avery Brewing,No,Mahou-San Miguel,30%,2017,Boulder,Colorado,30
Ballast Point,Yes,Kings & Convicts,100%,2020,San Diego,California,100
Batch 19,No,MillerCoors,100%,2011,,,100
Blue Moon,No,MillerCoors,100%,1995,Golden,Colorado,100
Blue Point,No,Anheuser-Busch InBev,100%,2014,Patchogue,New York,100
Boulevard,Yes,Duvel Moortgat,100%,2014,Kansas City,Missouri,100
Breckenridge,No,Anheuser-Busch InBev,100%,2016,Littleton,Colorado,100
BrewDog,Yes,TSG Consumer Partners,23%,2017,Ellon,Scotland,23
BridgePort,Yes,The Gambrinus Company,100%,1995,Portland,Oregon,100
Brooklyn Brewing,Yes,Kirin Holding Corp,24.5%,2015,Brooklyn,New York,24.5
Cigar City,Yes,CANarchy / Fireman Capital Partners,100%,2016,Tampa Bay,Florida,100
Clown Shoes,Yes,Mass Bay Brewing,100%,2017,Ipswich,Massachusetts,100
Concrete Beach,Yes,A&S Brewing (aka Boston Beer Company),100%,2015,Fort Lauderdale,Florida,100
Deep Ellum,Yes,CANarchy / Fireman Capital Partners,100%,2018,Dallas,Texas,100
Devil's Backbone,No,Anheuser-Busch InBev,100%,2016,Roseland,Virginia,100
Dogfish Head,Yes,Boston Beer Company,100%,2019,Milton,Delaware,100
Elysian,No,Anheuser-Busch InBev,100%,2015,Seattle,Washington,100
Firestone Walker,Yes,Duvel Moortgat,100%,2015,Paso Robles,California,100
